sku,category,price
sku0000,Toilets,2085.11
sku0001,Misc,3601.62
sku0002,Misc,0.57
sku0003,Faucets,1511.66
sku0004,Toilets,733.78
sku0005,Showers,461.69
sku0006,Misc,931.3
sku0007,Faucets,1727.8
sku0008,Faucets,1983.84
sku0009,Toilets,2694.08
sku0010,Showers,2095.97
sku0011,Misc,3426.1
sku0012,Faucets,1022.26
sku0013,Misc,4390.59
sku0014,Misc,136.94
sku0015,Misc,3352.34
sku0016,Faucets,2086.52
sku0017,Faucets,2793.45
sku0018,Faucets,701.93
sku0019,Showers,990.51
sku0020,Misc,4003.72
sku0021,Misc,4841.31
sku0022,Misc,1567.12
sku0023,Faucets,3461.61
sku0024,Showers,4381.95
sku0025,Toilets,4473.03
sku0026,Showers,425.22
sku0027,Showers,195.27
sku0028,Faucets,849.15
sku0029,Toilets,4390.71
sku0030,Toilets,491.73
sku0031,Faucets,2105.54
sku0032,Showers,4789.45
sku0033,Misc,2665.83
sku0034,Showers,3459.39
sku0035,Faucets,1577.58
sku0036,Faucets,3432.5
sku0037,Faucets,4173.13
sku0038,Showers,91.44
sku0039,Misc,3750.72
sku0040,Faucets,4944.31
sku0041,Showers,3740.83
sku0042,Showers,1402.22
sku0043,Faucets,3946.4
sku0044,Toilets,516.13
sku0045,Showers,2239.47
sku0046,Toilets,4542.98
sku0047,Showers,1468.07
sku0048,Showers,1438.88
sku0049,Showers,650.14
sku0050,Faucets,96.83
sku0051,Toilets,3394.18
sku0052,Faucets,1058.14
sku0053,Misc,1327.73
sku0054,Toilets,2457.87
sku0055,Showers,266.81
sku0056,Toilets,2870.59
sku0057,Showers,733.64
sku0058,Misc,2946.53
sku0059,Showers,3498.79
sku0060,Showers,511.67
sku0061,Showers,2070.28
sku0062,Misc,3472.0
sku0063,Faucets,2070.9
sku0064,Faucets,249.77
sku0065,Misc,2679.48
sku0066,Misc,3318.97
sku0067,Misc,2574.45
sku0068,Toilets,4722.97
sku0069,Showers,2932.78
sku0070,Faucets,4517.01
sku0071,Showers,687.37
sku0072,Showers,696.38
sku0073,Misc,4036.96
sku0074,Toilets,1988.38
sku0075,Toilets,826.77
sku0076,Faucets,4637.54
sku0077,Misc,1738.83
sku0078,Misc,3754.06
sku0079,Showers,3629.99
sku0080,Showers,4416.53
sku0081,Toilets,3118.36
sku0082,Showers,3754.71
sku0083,Misc,1744.49
sku0084,Faucets,1349.64
sku0085,Faucets,4479.43
sku0086,Misc,2140.46
sku0087,Toilets,4824.2
sku0088,Faucets,3317.21
sku0089,Toilets,3108.48
sku0090,Toilets,573.73
sku0091,Toilets,4747.45
sku0092,Misc,2249.56
sku0093,Misc,2891.95
sku0094,Misc,2040.68
sku0095,Showers,1185.13
sku0096,Faucets,4516.9
sku0097,Misc,2868.4
sku0098,Faucets,14.35
sku0099,Showers,3085.72
sku0100,Toilets,1633.22
sku0101,Misc,2635.29
sku0102,Misc,4429.71
sku0103,Toilets,1786.35
sku0104,Misc,4542.68
sku0105,Showers,3116.8
sku0106,Faucets,79.11
sku0107,Faucets,4647.19
sku0108,Faucets,3454.48
sku0109,Toilets,4986.61
sku0110,Faucets,861.7
sku0111,Misc,685.68
sku0112,Misc,4662.98
sku0113,Toilets,3484.09
sku0114,Toilets,330.0
sku0115,Toilets,3777.32
sku0116,Showers,3769.38
sku0117,Showers,4615.12
sku0118,Misc,3557.62
sku0119,Showers,621.35
sku0120,Misc,99.4
sku0121,Faucets,131.05
sku0122,Toilets,141.53
sku0123,Faucets,1231.06
sku0124,Misc,4300.14
sku0125,Toilets,2694.16
sku0126,Toilets,2764.11
sku0127,Faucets,4210.15
sku0128,Showers,620.87
sku0129,Misc,1395.92
sku0130,Toilets,2928.8
sku0131,Faucets,4847.98
sku0132,Showers,2805.15
sku0133,Toilets,93.24
sku0134,Misc,4003.16
sku0135,Faucets,1164.87
sku0136,Misc,4035.53
sku0137,Faucets,1939.3
sku0138,Toilets,4317.71
sku0139,Toilets,3735.61
sku0140,Showers,2781.2
sku0141,Showers,682.28
